Iteration,Iter_LR,loss,PSNR_rgb, SSIM_rgb
100,0.0001,0.01303,35.35718,0.52154
200,0.0001,0.04808,24.97828,0.50931
300,0.0001,0.01249,35.74144,0.56133
400,0.0001,0.01006,37.34717,0.34005
500,0.0001,0.01386,33.95732,0.45483
600,0.0001,0.02255,29.59903,0.52978
700,0.0001,0.03853,26.61144,0.48229
800,0.0001,0.01905,30.68307,0.50244
900,0.0001,0.01568,35.25908,0.46197
1000,0.0001,0.03665,26.87621,0.60939
1100,0.0001,0.01352,36.11128,0.36015
1200,0.0001,0.01512,33.54854,0.70562
1300,0.0001,0.01202,35.29684,0.46712
1400,0.0001,0.01350,34.54959,0.65220
1500,0.0001,0.01292,35.01892,0.74746
1600,0.0001,0.02246,30.49515,0.60695
1700,0.0001,0.01222,35.25673,0.68155
1800,0.0001,0.01462,34.39177,0.64833
1900,0.0001,0.02885,28.51886,0.54270
2000,0.0001,0.00951,37.02872,0.58604
2100,0.0001,0.01643,32.93686,0.75183
2200,0.0001,0.01359,34.04060,0.76241
2300,0.0001,0.01621,34.63120,0.43899
2400,0.0001,0.01854,31.79387,0.54352
2500,0.0001,0.01282,35.05912,0.30087
2600,0.0001,0.01390,34.05532,0.70408
2700,0.0001,0.01840,32.77708,0.76874
2800,0.0001,0.01806,32.08207,0.84861
2900,0.0001,0.01452,34.71116,0.64161
3000,0.0001,0.01038,37.53385,0.42633
3100,0.0001,0.01435,34.36791,0.39891
3200,0.0001,0.01139,35.65661,0.42942
3300,0.0001,0.01296,35.02095,0.76530
3400,0.0001,0.00886,37.10167,0.37774
3500,0.0001,0.01575,34.62766,0.51019
3600,0.0001,0.01916,31.53365,0.56412
3700,0.0001,0.02400,30.24570,0.57681
3800,0.0001,0.02345,29.69659,0.53908
3900,0.0001,0.01903,31.60085,0.67045
4000,0.0001,0.01656,33.48033,0.35691
4100,0.0001,0.01308,36.12400,0.46305
4200,0.0001,0.01723,33.00447,0.74671
4300,0.0001,0.02446,29.33552,0.58249
4400,0.0001,0.01780,27.99714,0.22758
4500,0.0001,0.01300,34.96987,0.42579
4600,0.0001,0.01581,34.02553,0.68971
4700,0.0001,0.02164,29.89085,0.58195
4800,0.0001,0.02079,30.94873,0.57383
4900,0.0001,0.02346,30.99726,0.76067
5000,0.0001,0.00825,38.87349,0.46238
5100,0.0001,0.02575,28.76882,0.58412
5200,0.0001,0.01493,35.12981,0.42953
5300,0.0001,0.01207,35.49027,0.68393
5400,0.0001,0.02154,26.60613,0.30584
5500,0.0001,0.01047,37.39496,0.45474
5600,0.0001,0.01258,36.12100,0.48459
5700,0.0001,0.01304,35.04386,0.55865
5800,0.0001,0.01062,36.58653,0.44971
5900,0.0001,0.02020,30.28427,0.57916
6000,0.0001,0.01126,36.49662,0.42481
6100,0.0001,0.01055,36.24129,0.47224
6200,0.0001,0.01773,32.50923,0.87013
6300,0.0001,0.01009,36.48169,0.36309
6400,0.0001,0.00836,37.78541,0.49299
6500,0.0001,0.00713,39.07030,0.36499
6600,0.0001,0.04024,24.93249,0.42532
6700,0.0001,0.02406,29.34209,0.59746
6800,0.0001,0.00867,38.50113,0.44071
6900,0.0001,0.01723,31.82346,0.49058
7000,0.0001,0.01200,35.35802,0.63592
7100,0.0001,0.04418,21.90888,0.30606
7200,0.0001,0.01748,32.84451,0.46940
7300,0.0001,0.01211,35.65264,0.36592
7400,0.0001,0.01131,36.44316,0.47616
